ID,Marital Status,Gender,Income,Children,Parent,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Brackets,Purchased Bike
24381,Single,Male,"$70,000.00",0,No,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Middle Aged,Yes
25597,Single,Male,"$30,000.00",0,No,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle Aged,Yes
27974,Single,Male,"$160,000.00",2,Yes,High School,Management,Yes,4,0-1 Miles,Pacific,33,Middle Aged,Yes
19364,Married,Male,"$40,000.00",1,Yes,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle Aged,Yes
19280,Married,Male,"$120,000.00",2,Yes,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Middle Aged,Yes
22173,Married,Female,"$30,000.00",3,Yes,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Middle Aged,Yes
25323,Married,Male,"$40,000.00",2,Yes,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle Aged,Yes
23542,Single,Male,"$60,000.00",1,Yes,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Middle Aged,Yes
20870,Single,Female,"$10,000.00",2,Yes,High School,Manual,Yes,1,0-1 Miles,Europe,38,Middle Aged,Yes
23316,Single,Male,"$30,000.00",3,Yes,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Old,Yes
27183,Single,Male,"$40,000.00",2,Yes,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Middle Aged,Yes
25940,Single,Male,"$20,000.00",2,Yes,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Old,Yes
25598,Married,Female,"$40,000.00",0,No,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Middle Aged,Yes
19193,Single,Male,"$40,000.00",2,Yes,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Middle Aged,Yes
17841,Single,Male,"$30,000.00",0,No,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolescent,Yes
16466,Single,Female,"$20,000.00",0,No,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Middle Aged,Yes
22400,Married,Male,"$10,000.00",0,No,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolescent,Yes
18484,Single,Male,"$80,000.00",2,Yes,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Middle Aged,Yes
12291,Single,Male,"$90,000.00",5,Yes,Partial College,Professional,No,2,2-5 Miles,Europe,62,Old,Yes
17891,Married,Female,"$10,000.00",2,Yes,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Middle Aged,Yes
16259,Single,Female,"$10,000.00",4,Yes,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Middle Aged,Yes
14347,Single,Female,"$40,000.00",2,Yes,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Old,Yes
17185,Married,Female,"$170,000.00",4,Yes,Partial College,Professional,No,3,5-10 Miles,Europe,48,Middle Aged,Yes
29380,Married,Female,"$20,000.00",3,Yes,High School,Manual,Yes,0,0-1 Miles,Europe,41,Middle Aged,Yes
23986,Married,Female,"$20,000.00",1,Yes,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old,Yes
24466,Married,Female,"$60,000.00",1,Yes,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Middle Aged,Yes
29097,Single,Female,"$40,000.00",2,Yes,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Middle Aged,Yes
14939,Single,Male,"$40,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Middle Aged,Yes
12808,Married,Male,"$40,000.00",0,No,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Middle Aged,Yes
20567,Married,Male,"$130,000.00",4,Yes,Partial College,Professional,No,4,5-10 Miles,Europe,61,Old,Yes
